video_id,cls,player_name,bib,t_zero,final_clock,official_forty,n_crossings,mat_offset,v_max_yd_s,v_max_m_s,tau_s,resid_yd,t_10yd,quality
-zgIolzsJxY,skill,Marcus Allen,2,8.993,4.51,4.5,2,13.127,11.3532,10.381,0.9827,0.2358,1.687,ok
-zgIolzsJxY,skill,Tacario Davis,5,54.009,4.41,4.41,0,13.127,,,,,,unfitted
-zgIolzsJxY,skill,Davison Igbinosun,15,195.303,4.46,4.45,3,13.127,11.4772,10.495,0.9817,0.0599,1.6747,ok
-zgIolzsJxY,skill,Domani Jackson,16,226.532,4.41,4.41,4,13.127,11.7359,10.731,1.018,0.1694,1.6734,ok
-zgIolzsJxY,skill,Chris Johnson,17,239.069,4.43,4.4,3,13.127,11.1194,10.168,0.8468,0.1069,1.6213,ok
-zgIolzsJxY,skill,Will Lee III,18,250.893,4.52,4.52,3,13.127,11.2246,10.264,0.9604,0.1125,1.6852,ok
-zgIolzsJxY,skill,Hezekiah Masses,19,262.585,4.56,4.46,3,13.127,11.3131,10.345,1.0307,0.1027,1.7205,ok
-zgIolzsJxY,skill,Latrell McCutchin,21,278.276,4.44,4.43,3,13.127,12.0361,11.006,1.1388,0.0661,1.7176,ok
-zgIolzsJxY,skill,Devin Moore,22,292.408,4.55,4.5,3,13.127,10.9541,10.016,0.9254,0.2237,1.6892,ok
-zgIolzsJxY,skill,Toriano Pride,26,332.123,4.36,4.32,4,13.127,11.7766,10.768,0.9744,0.0853,1.643,ok
-zgIolzsJxY,skill,Ephesians Prysock,27,372.508,4.46,4.45,3,13.127,12.443,11.378,1.2802,0.1046,1.7601,ok
-zgIolzsJxY,skill,Chandler Rivers,28,386.23,4.42,4.4,2,13.127,11.2456,10.283,0.8674,0.0156,1.6231,ok
-zgIolzsJxY,skill,Avery Smith,30,411.145,4.54,4.54,2,13.127,10.9471,10.01,0.8888,0.0982,1.6659,ok
-zgIolzsJxY,skill,Daylen Everette,9,482.317,4.4,4.38,1,13.127,,,,,,unfitted
-zgIolzsJxY,skill,Andre Fuller,10,504.16,4.54,4.49,3,13.127,10.9263,9.991,0.8911,0.2275,1.6694,ok
-zgIolzsJxY,skill,Colton Hood,14,547.06,4.45,4.44,1,13.127,,,,,,unfitted
-zgIolzsJxY,skill,Davison Igbinosun,15,583.353,4.55,4.45,2,13.127,11.0267,10.083,0.9232,0.0942,1.6806,ok
-zgIolzsJxY,skill,Domani Jackson,16,620.781,4.42,4.41,3,13.127,11.9063,10.887,1.0671,0.1222,1.6875,ok
-zgIolzsJxY,skill,Chris Johnson,17,642.539,4.43,4.4,4,13.127,11.2831,10.317,0.8776,0.1578,1.6263,ok
-zgIolzsJxY,skill,Will Lee III,18,676.974,4.52,4.52,2,13.127,10.6964,9.781,0.7764,0.1232,1.6142,ok
