video_id,bib,player_name,cls,split,pos,drafted,official_forty,n_marks,v_max_yd_s,v_max_m_s,tau_s,onset_s,rmse_yd,max_resid_yd,t40_fit,t40_err
-zgIolzsJxY,9,Daylen Everette,skill,train,CB,True,4.38,8,12.247011619293712,11.19866742468217,1.5001938301614675,-0.25384652198213264,0.13155508239459146,0.19671264136308508,4.447097965798989,0.06709796579898875
-zgIolzsJxY,16,Domani Jackson,skill,test,CB,True,4.41,8,12.032923458108728,11.002905210094621,1.4745300030444701,-0.2702421033579433,0.04375922808282694,0.10078338342384896,4.469245351367833,0.059245351367833265
-zgIolzsJxY,28,Chandler Rivers,skill,test,CB,True,4.4,8,11.55486488848635,10.565768454031918,1.2413956946904323,-0.20983939405716703,0.15404501578542512,0.23242060051417468,4.46455396643447,0.06455396643446942
0r_usy_GIAI,5,Skyler Bell,skill,test,WR,True,4.4,8,11.513783046630657,10.528203217839073,1.3193704591356052,-0.2741349243881479,0.08602444532807269,0.15921839678996008,4.483497678485271,0.08349767848527101
0r_usy_GIAI,9,Zachariah Branch,skill,train,WR,True,4.35,8,12.016202171160058,10.987615265308758,1.4334055178692617,-0.2932646665954753,0.10290810849645993,0.22108690952865295,4.415305868264341,0.0653058682643417
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,WR,False,4.4,8,11.970356551220116,10.945694030435673,1.3874160226859193,-0.2155098750059239,0.094544828996017,0.17233739413308946,4.465983960761883,0.06598396076188262
BEFga72DF3U,39,Brenen Thompson,skill,train,WR,True,4.26,8,12.359447821423437,11.301479087909591,1.3334600908532428,-0.15841759191232746,0.10593600616010193,0.16053551577099157,4.366639575137287,0.1066395751372875
BEFga72DF3U,45,Antonio Williams,skill,train,WR,True,4.41,8,11.636952988921179,10.640829813069526,1.2146063697906604,-0.1607872621277453,0.15591407710942726,0.26756191178647093,4.464184301215174,0.054184301215173925
Sr-Q6UjJq6g,1,Cameron Ball,line,train,DT,False,5.13,8,9.976599909983527,9.122602957688937,1.4063845489619307,-0.22232145776804216,0.16269049442718153,0.35534065754888644,5.162885963211512,0.032885963211511715
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,SAF,True,4.32,8,11.981503143623122,10.955886474528983,1.3164718076513495,-0.2391889809154387,0.0847734831578453,0.15621875075414593,4.3762423444460685,0.05624234444606824
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,SAF,True,4.35,8,11.621591568190896,10.626783329953755,1.2568829868314653,-0.21941482714702235,0.1425322330996754,0.31099120050760476,4.448696115308623,0.09869611530862343
