season,player_name,pos,cls,school,ht,wt,forty,forty_tercile,drafted,round,pick,team,pfr_id,cfb_id
2026,Zane Durant,DT,line,Penn St.,6-1,290.0,4.75,fast,True,5.0,181.0,BUF,DuraZa00,zane-durant-1
2026,Kaleb Proctor,DT,line,Southeastern Louisiana,6-2,291.0,4.79,fast,True,4.0,104.0,ARI,,
2026,Gracen Halton,DT,line,Oklahoma,6-3,293.0,4.82,fast,True,4.0,107.0,SFO,HaltGr00,gracen-halton-1
2025,Ty Robinson,DT,line,Nebraska,6-5,288.0,4.83,fast,True,4.0,111.0,PHI,RobiTy02,ty-robinson-1
2025,Jared Wilson,C,line,Georgia,6-3,310.0,4.84,fast,True,3.0,95.0,NWE,WilsJa02,jared-wilson-2
2026,DeMonte Capehart,DT,line,Clemson,6-5,313.0,4.85,fast,True,5.0,155.0,TAM,CapeDe00,demonte-capehart-1
2025,Jared Harrison-Hunte,DT,line,SMU,6-3,290.0,4.86,fast,False,,,,HarrJa06,jared-harrison-hunte-1
2025,Tyrion Ingram-Dawkins,DT,line,Georgia,6-5,276.0,4.86,fast,True,5.0,139.0,MIN,IngrTy00,tyrion-ingram-dawkins-1
2026,David Gusta,DT,line,Kentucky,6-2,308.0,4.88,fast,False,,,,,david-gusta-1
2026,Jackie Marshall,DT,line,Baylor,6-3,293.0,4.88,fast,True,6.0,184.0,TEN,MarsJa02,jackie-marshall-1
2026,Albert Regis,DT,line,Texas A&M,6-1,295.0,4.88,fast,True,3.0,81.0,JAX,RegiAl00,albert-regis-1
2026,Logan Jones,C,line,Iowa,6-3,299.0,4.9,fast,True,2.0,57.0,CHI,JoneLo01,logan-jones-1
2025,Armand Membou,OT,line,Missouri,6-4,332.0,4.91,fast,True,1.0,7.0,NYJ,MembAr00,armand-membou-1
2026,Spencer Fano,OT,line,Utah,6-6,311.0,4.91,fast,True,1.0,9.0,CLE,FanoSp00,spencer-fano-1
2026,Maxwell Iheanachor,OT,line,Arizona St.,6-6,321.0,4.91,fast,True,1.0,21.0,PIT,IheaMa00,max-iheanachor-1
2026,Jalen Farmer,G,line,Kentucky,6-5,312.0,4.93,fast,True,4.0,113.0,IND,FarmJa00,jalen-farmer-1
2026,Monroe Freeling,OT,line,Georgia,6-7,315.0,4.93,fast,True,1.0,19.0,CAR,FreeMo00,monroe-freeling-1
2025,Aeneas Peebles,DT,line,Virginia Tech,6-1,282.0,4.94,fast,True,6.0,210.0,BAL,PeebAe00,aeneas-peebles-1
2026,Jager Burton,C,line,Kentucky,6-4,312.0,4.94,fast,True,5.0,153.0,GNB,BurtJa02,jager-burton-1
2026,Enrique Cruz,OT,line,Kansas,6-6,313.0,4.94,fast,False,,,,,enrique-cruz-jr-1
2025,Darius Alexander,DT,line,Toledo,6-4,305.0,4.95,fast,True,3.0,65.0,NYG,AlexDa01,darius-alexander-1
2025,Derrick Harmon,DT,line,Oregon,6-5,313.0,4.95,fast,True,1.0,21.0,PIT,HarmDe01,derrick-harmon-2
2025,Jonah Savaiinaea,OT,line,Arizona,6-4,324.0,4.95,fast,True,2.0,37.0,MIA,SavaJo00,jonah-savaiinaea-1
2025,CJ West,DT,line,Indiana,6-1,316.0,4.95,fast,True,4.0,113.0,SFO,WestCJ00,cj-west-1
2026,Parker Brailsford,C,line,Alabama,6-2,289.0,4.95,fast,True,5.0,146.0,CLE,BraiPa01,parker-brailsford-1
2025,Tate Ratledge,G,line,Georgia,6-7,308.0,4.97,fast,True,2.0,57.0,DET,RatlTa00,tate-ratledge-1
2025,Will Campbell,OT,line,LSU,6-6,319.0,4.98,fast,True,1.0,4.0,NWE,CampWi01,will-campbell-1
2026,Caleb Lomu,OT,line,Utah,6-6,313.0,4.99,fast,True,1.0,28.0,NWE,LomuCa00,caleb-lomu-1
2025,Aireontae Ersery,OT,line,Minnesota,6-6,331.0,5.01,fast,True,2.0,48.0,HOU,ErseAi00,aireontae-ersery-1
2025,Jackson Slater,G,line,Sacramento St.,6-3,311.0,5.01,fast,True,5.0,167.0,TEN,SlatJa01,
2026,Devon Campbell,G,line,Texas,6-3,313.0,5.01,fast,True,6.0,200.0,MIA,CampDJ01,dj-campbell-2
2026,Aamil Wagner,OT,line,Notre Dame,6-6,306.0,5.01,fast,False,,,,WagnAa00,aamil-wagner-1
2025,Eli Cox,C,line,Kentucky,6-4,306.0,5.02,fast,False,,,,CoxxEl00,eli-cox-1
2026,Chase Bisontis,G,line,Texas A&M,6-5,315.0,5.02,fast,True,2.0,34.0,ARI,BisoCh00,chase-bistonis-1
2026,Dillon Wade,G,line,Auburn,6-3,316.0,5.02,fast,False,,,,WadeDi00,dillon-wade-1
2025,Junior Tafuna,DT,line,Utah,6-4,308.0,5.03,mid,False,,,,,junior-tafuna-1
2025,Joshua Gray,G,line,Oregon St.,6-5,299.0,5.04,mid,False,,,,GrayJo01,joshua-gray-1
2026,Caleb Banks,DT,line,Florida,6-6,327.0,5.04,mid,True,1.0,18.0,MIN,BankCa01,caleb-banks-1
2026,Blake Miller,OT,line,Clemson,6-7,317.0,5.04,mid,True,1.0,17.0,DET,MillBl01,blake-miller-2
2025,Joshua Conerly,OT,line,Oregon,6-5,311.0,5.05,mid,True,1.0,29.0,WAS,ConeJo00,josh-conerly-jr-1
2025,Drew Kendall,C,line,Boston Col.,6-4,308.0,5.05,mid,True,5.0,168.0,PHI,KendDr00,drew-kendall-1
