video_id,bib,player_name,cls,split,frame,t_rel_s,yard
-zgIolzsJxY,9,Daylen Everette,skill,train,52,1.0269,5.0
-zgIolzsJxY,9,Daylen Everette,skill,train,70,1.6275,10.0
-zgIolzsJxY,9,Daylen Everette,skill,train,86,2.1614,15.0
-zgIolzsJxY,9,Daylen Everette,skill,train,101,2.6619,20.0
-zgIolzsJxY,9,Daylen Everette,skill,train,115,3.129,25.0
-zgIolzsJxY,9,Daylen Everette,skill,train,129,3.5961,30.0
-zgIolzsJxY,9,Daylen Everette,skill,train,142,4.0299,35.0
-zgIolzsJxY,9,Daylen Everette,skill,train,154,4.4303,40.0
-zgIolzsJxY,16,Domani Jackson,skill,test,51,0.9963,5.0
-zgIolzsJxY,16,Domani Jackson,skill,test,70,1.6303,10.0
-zgIolzsJxY,16,Domani Jackson,skill,test,86,2.1642,15.0
-zgIolzsJxY,16,Domani Jackson,skill,test,101,2.6647,20.0
-zgIolzsJxY,16,Domani Jackson,skill,test,115,3.1318,25.0
-zgIolzsJxY,16,Domani Jackson,skill,test,129,3.5989,30.0
-zgIolzsJxY,16,Domani Jackson,skill,test,142,4.0327,35.0
-zgIolzsJxY,16,Domani Jackson,skill,test,155,4.4665,40.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,52,1.0171,5.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,69,1.5843,10.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,86,2.1516,15.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,100,2.6187,20.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,115,3.1192,25.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,129,3.5863,30.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,142,4.0201,35.0
-zgIolzsJxY,28,Chandler Rivers,skill,test,155,4.4539,40.0
0r_usy_GIAI,5,Skyler Bell,skill,test,51,0.9745,5.0
0r_usy_GIAI,5,Skyler Bell,skill,test,69,1.5751,10.0
0r_usy_GIAI,5,Skyler Bell,skill,test,86,2.1424,15.0
0r_usy_GIAI,5,Skyler Bell,skill,test,101,2.6429,20.0
0r_usy_GIAI,5,Skyler Bell,skill,test,115,3.11,25.0
0r_usy_GIAI,5,Skyler Bell,skill,test,129,3.5771,30.0
0r_usy_GIAI,5,Skyler Bell,skill,test,143,4.0443,35.0
0r_usy_GIAI,5,Skyler Bell,skill,test,156,4.478,40.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,50,0.9438,5.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,70,1.6111,10.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,85,2.1116,15.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,100,2.6121,20.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,114,3.0792,25.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,128,3.5464,30.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,141,3.9801,35.0
0r_usy_GIAI,9,Zachariah Branch,skill,train,154,4.4139,40.0
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,52,1.0275,5.0
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,70,1.6281,10.0
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,87,2.1953,15.0
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,101,2.6625,20.0
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,115,3.1296,25.0
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,129,3.5967,30.0
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,142,4.0305,35.0
BEFga72DF3U,36,J. Michael Sturdivant,skill,train,155,4.4643,40.0
BEFga72DF3U,39,Brenen Thompson,skill,train,53,1.0525,5.0
BEFga72DF3U,39,Brenen Thompson,skill,train,70,1.6197,10.0
BEFga72DF3U,39,Brenen Thompson,skill,train,86,2.1536,15.0
BEFga72DF3U,39,Brenen Thompson,skill,train,100,2.6207,20.0
BEFga72DF3U,39,Brenen Thompson,skill,train,114,3.0878,25.0
BEFga72DF3U,39,Brenen Thompson,skill,train,127,3.5216,30.0
BEFga72DF3U,39,Brenen Thompson,skill,train,140,3.9554,35.0
BEFga72DF3U,39,Brenen Thompson,skill,train,152,4.3558,40.0
BEFga72DF3U,45,Antonio Williams,skill,train,53,1.0355,5.0
BEFga72DF3U,45,Antonio Williams,skill,train,71,1.6361,10.0
BEFga72DF3U,45,Antonio Williams,skill,train,86,2.1366,15.0
BEFga72DF3U,45,Antonio Williams,skill,train,102,2.6704,20.0
BEFga72DF3U,45,Antonio Williams,skill,train,116,3.1376,25.0
BEFga72DF3U,45,Antonio Williams,skill,train,129,3.5713,30.0
BEFga72DF3U,45,Antonio Williams,skill,train,142,4.0051,35.0
BEFga72DF3U,45,Antonio Williams,skill,train,156,4.4722,40.0
Sr-Q6UjJq6g,1,Cameron Ball,line,train,48,1.1555,5.0
Sr-Q6UjJq6g,1,Cameron Ball,line,train,69,1.8562,10.0
Sr-Q6UjJq6g,1,Cameron Ball,line,train,89,2.5236,15.0
Sr-Q6UjJq6g,1,Cameron Ball,line,train,104,3.0241,20.0
Sr-Q6UjJq6g,1,Cameron Ball,line,train,121,3.5913,25.0
Sr-Q6UjJq6g,1,Cameron Ball,line,train,137,4.1252,30.0
Sr-Q6UjJq6g,1,Cameron Ball,line,train,153,4.659,35.0
Sr-Q6UjJq6g,1,Cameron Ball,line,train,168,5.1595,40.0
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,51,0.9731,5.0
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,69,1.5737,10.0
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,85,2.1076,15.0
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,100,2.6081,20.0
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,113,3.0419,25.0
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,127,3.509,30.0
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,140,3.9428,35.0
UcatZ1FYe5E,48,Robert Spears-Jennings,skill,test,153,4.3765,40.0
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,52,1.0023,5.0
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,70,1.6029,10.0
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,85,2.1034,15.0
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,101,2.6373,20.0
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,115,3.1044,25.0
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,129,3.5715,30.0
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,142,4.0053,35.0
UcatZ1FYe5E,52,Dillon Thieneman,skill,test,155,4.4391,40.0
