run,player_name,shift_s,resid_s
-zgIolzsJxY_09,Daylen Everette,0.0748,0.006968528034795393
-zgIolzsJxY_16,Domani Jackson,0.072,0.006443219545879314
-zgIolzsJxY_19,Hezekiah Masses,0.0881,0.006125717236022713
-zgIolzsJxY_24,Julian Neal,0.0847,0.009271236624301566
-zgIolzsJxY_28,Chandler Rivers,0.0846,0.006537528465348361
0r_usy_GIAI_02,Vinny Anthony II,0.0842,0.006544413824448755
0r_usy_GIAI_05,Skyler Bell,0.0938,0.006073152411092053
0r_usy_GIAI_09,Zachariah Branch,0.0912,0.006573008781710597
0r_usy_GIAI_17,Omar Cooper,0.0812,0.006460395834055044
0r_usy_GIAI_21,Emmanuel Henderson,0.091,0.005972259038475371
9xc35LbeeUE_01,Dallen Bentley,0.0798,0.007605117021317441
9xc35LbeeUE_06,Jack Endries,0.0785,0.0062206392247481385
9xc35LbeeUE_07,John Michael Gyllenborg,0.0795,0.009913796556738356
9xc35LbeeUE_10,Will Kacmarek,0.0947,0.008962271255343535
9xc35LbeeUE_14,Marlin Klein,0.0817,0.006057584824831969
9xc35LbeeUE_15,Tanner Koziol,0.0801,0.0066465779574942764
9xc35LbeeUE_23,Kenyon Sadiq,0.0818,0.006048002289159421
BEFga72DF3U_28,Kendrick Law,0.073,0.006136443633348128
BEFga72DF3U_36,J. Michael Sturdivant,0.0742,0.007848945477062929
BEFga72DF3U_39,Brenen Thompson,0.0826,0.29729817430392075
BEFga72DF3U_42,Harrison Wallace,0.0932,0.006215851314715029
BEFga72DF3U_45,Antonio Williams,0.0996,0.007651978821326675
LDqozfzjaNU_30,Vincent Anthony Jr.,0.0081,0.008159408478071093
LDqozfzjaNU_40,Romello Height,-0.317,0.01001212706457919
LDqozfzjaNU_45,Marvin Jones Jr.,0.1024,0.00638070228720981
LDqozfzjaNU_48,Malachi Lawrence,0.1026,0.006151073171275645
LDqozfzjaNU_53,Trey Moore,0.0758,0.008530471580458788
LDqozfzjaNU_62,Nadame Tucker,1.2135,1.6652574600367591
Sr-Q6UjJq6g_01,Cameron Ball,0.0957,0.009068854226054551
Sr-Q6UjJq6g_03,Nick Barrett,0.0727,0.008741519776021877
Sr-Q6UjJq6g_13,Gracen Halton,0.0684,0.3513541802686912
Sr-Q6UjJq6g_18,Tim Keenan III,0.0987,1.7083957191717916
Sr-Q6UjJq6g_19,Jackie Marshall,0.0911,0.005926957013885325
Sr-Q6UjJq6g_25,Kaleb Proctor,0.0783,0.009213273771046153
UcatZ1FYe5E_40,Emmanuel McNeil-Warren,0.0749,0.0061803234280901585
UcatZ1FYe5E_43,Xavier Nwankpa,0.0855,0.5177477032105956
UcatZ1FYe5E_48,Robert Spears-Jennings,0.0952,0.006597847594628429
UcatZ1FYe5E_51,Michael Taaffe,0.1,0.007423234759448176
UcatZ1FYe5E_52,Dillon Thieneman,0.0994,0.007837402778903893
W23Nvg3rw6U_02,Austin Barber,0.0824,0.008965871863019314
W23Nvg3rw6U_06,Jude Bowry,0.1015,0.0062909529934676665
W23Nvg3rw6U_07,Parker Brailsford,0.1014,0.006225965427357029
W23Nvg3rw6U_12,Fernando Carmona,0.0935,0.009803315028471824
W23Nvg3rw6U_13,Kage Casey,0.0958,0.3451354573703768
W23Nvg3rw6U_17,Enrique Cruz,0.0735,0.006753063680056721
W23Nvg3rw6U_22,Spencer Fano,0.0855,0.03494466550715581
f9RAoGpGkIY_31,Logan Jones,0.097,0.3891597297827458
f9RAoGpGkIY_35,Blake Miller,0.1008,0.008937120880329977
f9RAoGpGkIY_39,Diego Pounds,0.0981,0.009595604612816366
f9RAoGpGkIY_44,Keylan Rutledge,0.1057,0.006455234108478341
f9RAoGpGkIY_48,Beau Stephens,0.0974,0.00609460334815874
f9RAoGpGkIY_52,Dillon Wade,0.084,0.01240410176822519
f9RAoGpGkIY_54,Carver Willis,0.0995,0.008767076990983677
g__zmhX838U_10,Emmett Johnson,0.0727,0.006507747309376491
g__zmhX838U_16,Adam Randall,0.0902,0.006068586752900548
g__zmhX838U_20,Mike Washington Jr.,0.0925,0.009637590745717744
olzS7RidilY_12,Anthony Hill,0.0947,0.006817781481777212
olzS7RidilY_16,Kyle Louis,0.0841,0.0072538642083623825
olzS7RidilY_23,Xavian Sorey Jr.,0.0882,0.006095009089613345
olzS7RidilY_24,Alex Styles,0.101,0.009099664688502734
