run_id,panel_pos,panel_pos_score
-zgIolzsJxY_000,DB,1.0
-zgIolzsJxY_001,DB,1.0
-zgIolzsJxY_002,DB,1.0
-zgIolzsJxY_003,DB,1.0
-zgIolzsJxY_004,DB,1.0
-zgIolzsJxY_005,DB,1.0
-zgIolzsJxY_006,DB,0.997
-zgIolzsJxY_007,DB,1.0
-zgIolzsJxY_008,DB,0.999
-zgIolzsJxY_009,DB,0.999
-zgIolzsJxY_010,DB,0.999
-zgIolzsJxY_011,DB,0.987
-zgIolzsJxY_012,DB,1.0
-zgIolzsJxY_013,DB,1.0
-zgIolzsJxY_014,DB,0.996
-zgIolzsJxY_015,DB,1.0
-zgIolzsJxY_016,DB,1.0
-zgIolzsJxY_017,DB,1.0
-zgIolzsJxY_018,DB,0.999
-zgIolzsJxY_019,DB,0.999
-zgIolzsJxY_020,DB,1.0
-zgIolzsJxY_021,DB,1.0
-zgIolzsJxY_022,DB,1.0
-zgIolzsJxY_023,DB,0.996
-zgIolzsJxY_024,DB,1.0
-zgIolzsJxY_025,DB,0.988
-zgIolzsJxY_026,DB,1.0
-zgIolzsJxY_027,DB,1.0
-zgIolzsJxY_028,DB,0.999
-zgIolzsJxY_029,DB,1.0
-zgIolzsJxY_030,DB,1.0
-zgIolzsJxY_031,DB,0.997
-zgIolzsJxY_032,DB,1.0
-zgIolzsJxY_033,DB,1.0
-zgIolzsJxY_034,DB,1.0
-zgIolzsJxY_035,DB,1.0
-zgIolzsJxY_036,DB,1.0
-zgIolzsJxY_037,DB,0.999
0r_usy_GIAI_000,WR,1.0
0r_usy_GIAI_001,WR,0.986
0r_usy_GIAI_002,WR,0.985
0r_usy_GIAI_003,WR,0.994
0r_usy_GIAI_004,WR,0.994
0r_usy_GIAI_005,WR,0.91
0r_usy_GIAI_006,WR,0.939
0r_usy_GIAI_007,WR,0.994
0r_usy_GIAI_008,WR,0.994
0r_usy_GIAI_009,WR,0.994
0r_usy_GIAI_010,WR,0.994
0r_usy_GIAI_011,WR,0.994
0r_usy_GIAI_012,WR,0.968
0r_usy_GIAI_013,WR,0.994
0r_usy_GIAI_014,WR,0.994
0r_usy_GIAI_015,WR,0.985
