run_id,video_id,group,position,panel_pos,cls,athlete,bib,attempt,split,status,qc_reason,time_40yd,time_10yd,t_at_10yd,clip_ss,clip_frames,k0,clock_resid_p95,clock_coverage,bib_agree,panel_min_corr,max_cut,turf_min,turf_median,lane_frac,track_frac,start_support,x_at_zero,x_at_stop,max_step_yd,yardline_resid
-zgIolzsJxY_000,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-2,2,1.0,test,ok,,4.51,,1.7253,7.9746,184,33.534,0.0113,0.9988,1.0,0.9999,0.0748,0.2325,0.6815,0.9635,1.0,33,-0.9474,39.8568,0.419,0.2345
-zgIolzsJxY_001,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-5,5,1.0,train,ok,,4.41,,1.6898,52.9863,181,33.962,0.014,0.9912,1.0,0.9999,0.1438,0.2347,0.6801,0.9852,1.0,23,-1.2881,39.6584,0.423,0.1592
-zgIolzsJxY_002,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-7,7,1.0,train,ok,,4.42,,1.6772,69.3693,181,33.311,0.0112,0.9965,1.0,0.9999,0.0756,0.2371,0.6808,0.9851,1.0,58,-1.1647,39.6077,0.418,0.144
-zgIolzsJxY_003,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-9,9,1.0,test,ok,,4.38,,1.6495,83.9172,180,34.011,0.0112,0.9903,1.0,0.9999,0.0889,0.2342,0.6817,0.9699,1.0,32,-1.1869,39.6891,0.424,0.135
-zgIolzsJxY_004,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-10,10,1.0,train,ok,,4.54,,1.7038,125.7923,185,33.65,0.0136,0.9922,1.0,0.9999,0.1366,0.2356,0.6824,0.971,1.0,55,-1.4155,39.6479,0.393,0.1261
-zgIolzsJxY_005,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-12,12,1.0,train,ok,,4.59,,1.7388,151.4179,186,33.703,0.0119,1.0032,1.0,0.9999,0.1364,0.2368,0.68,0.9714,1.0,27,-1.1393,39.4306,0.399,0.1614
-zgIolzsJxY_006,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-14,14,1.0,test,ok,,4.45,,1.6962,167.0669,182,33.805,0.0192,0.9973,1.0,0.9999,0.1092,0.2332,0.6801,0.9853,1.0,49,-0.9838,39.4744,0.406,0.1622
-zgIolzsJxY_007,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-15,15,1.0,test,ok,,4.46,,1.6808,194.2941,182,33.422,0.0108,0.995,1.0,0.9999,0.1336,0.2373,0.685,0.9632,1.0,29,-1.3856,39.4907,0.406,0.146
-zgIolzsJxY_008,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-16,16,1.0,test,ok,,4.41,,1.684,225.5253,181,33.137,0.0123,0.9987,1.0,0.9998,0.0788,0.2346,0.6819,0.9776,1.0,27,-1.1896,39.6432,0.528,0.1394
-zgIolzsJxY_009,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-17,17,1.0,test,ok,,4.43,,1.6568,238.0378,181,34.149,0.0112,0.9942,1.0,0.9999,0.0622,0.2348,0.6824,0.9925,1.0,58,-1.3073,39.6612,0.414,0.1352
-zgIolzsJxY_010,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-18,18,1.0,train,ok,,4.52,,1.6838,249.883,184,33.514,0.0157,0.9966,1.0,0.9999,0.0778,0.2364,0.683,0.9708,1.0,34,-0.998,39.5304,0.417,0.1806
-zgIolzsJxY_011,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-19,19,1.0,train,ok,,4.56,,1.7126,261.5613,185,33.706,0.0122,0.9951,0.984,0.9998,0.0686,0.2354,0.6819,0.9496,1.0,32,-1.144,39.5751,0.404,0.1617
-zgIolzsJxY_012,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-21,21,1.0,test,ok,,4.44,,1.7186,277.2436,182,34.024,0.0165,1.007,1.0,0.9999,0.0607,0.2353,0.6818,0.9852,1.0,26,-1.2634,39.5511,0.403,0.1755
-zgIolzsJxY_013,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-22,22,1.0,train,ok,,4.55,,1.7203,291.3911,185,33.43,0.0125,0.9973,1.0,0.9999,0.1201,0.2372,0.6828,0.9783,1.0,30,-1.0546,39.4026,0.406,0.1485
-zgIolzsJxY_014,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-23,23,1.0,test,ok,,4.42,,1.6443,304.8379,181,34.173,0.0118,1.004,1.0,0.9999,0.1017,0.238,0.6823,0.9701,1.0,27,-1.1544,39.475,0.561,0.1469
-zgIolzsJxY_015,-zgIolzsJxY,Defensive Backs,CB,DB,SKILL,DB-24,24,1.0,train,ok,,4.54,,1.7347,319.7861,185,33.772,0.0109,0.9922,1.0,0.9999,0.061,0.2352,0.6803,0.9855,1.0,33,-1.0736,39.7697,0.432,0.1768
