run_id,video_id,group,positions,slot,t_origin,split10_coarse,clip_ss,clip_frames,k0,final_time,split10,clock_resid_p95,clock_monotone,n_clock,bib,bib_agree
-zgIolzsJxY_000,-zgIolzsJxY,Defensive Backs,CB,26,8.99,,7.9746,176,33.518,4.25,,0.0119,True,116,2,1.0
-zgIolzsJxY_001,-zgIolzsJxY,Defensive Backs,CB,26,70.37,,69.3693,181,33.309,4.42,,0.0109,True,131,7,1.0
-zgIolzsJxY_002,-zgIolzsJxY,Defensive Backs,CB,26,126.81,,125.7923,185,33.621,4.54,,0.0139,True,119,10,1.0
-zgIolzsJxY_003,-zgIolzsJxY,Defensive Backs,CB,26,152.43,,151.4179,186,33.659,4.59,,0.0117,True,121,12,1.0
-zgIolzsJxY_004,-zgIolzsJxY,Defensive Backs,CB,26,168.09,,167.0669,174,33.851,4.45,,0.0209,True,110,14,1.0
-zgIolzsJxY_005,-zgIolzsJxY,Defensive Backs,CB,26,195.3,,194.2941,182,33.416,4.46,,0.0105,True,129,15,1.0
-zgIolzsJxY_006,-zgIolzsJxY,Defensive Backs,CB,26,239.07,,238.0378,181,34.158,4.43,,0.0107,True,129,17,1.0
-zgIolzsJxY_007,-zgIolzsJxY,Defensive Backs,CB,26,250.885,,249.883,184,33.489,4.52,,0.0155,True,126,18,1.0
-zgIolzsJxY_008,-zgIolzsJxY,Defensive Backs,CB,26,262.58,,261.5613,174,33.665,4.56,,0.0125,True,109,19,0.983
-zgIolzsJxY_009,-zgIolzsJxY,Defensive Backs,CB,26,278.275,,277.2436,182,34.051,4.44,,0.0176,True,128,21,1.0
-zgIolzsJxY_010,-zgIolzsJxY,Defensive Backs,CB,26,292.41,,291.3911,185,33.423,4.55,,0.0121,True,133,22,1.0
-zgIolzsJxY_011,-zgIolzsJxY,Defensive Backs,CB,26,305.87,,304.8379,181,34.179,4.42,,0.0113,True,129,23,1.0
-zgIolzsJxY_012,-zgIolzsJxY,Defensive Backs,CB,26,320.8,,319.7861,167,33.807,3.94,,0.0113,True,103,24,1.0
-zgIolzsJxY_013,-zgIolzsJxY,Defensive Backs,CB,26,332.12,,331.0974,179,33.944,4.36,,0.0111,True,114,26,1.0
-zgIolzsJxY_014,-zgIolzsJxY,Defensive Backs,CB,26,386.22,,385.2182,181,33.507,4.42,,0.0119,True,121,28,1.0
-zgIolzsJxY_015,-zgIolzsJxY,Defensive Backs,CB,27,438.81,,437.804,185,33.275,4.56,,0.0114,True,136,2,1.0
-zgIolzsJxY_016,-zgIolzsJxY,Defensive Backs,CB,27,456.14,,455.1213,181,33.76,4.44,,0.0114,True,132,5,1.0
-zgIolzsJxY_017,-zgIolzsJxY,Defensive Backs,CB,27,465.35,,464.3305,182,33.817,4.44,,0.0129,True,132,7,1.0
-zgIolzsJxY_018,-zgIolzsJxY,Defensive Backs,CB,27,482.32,,481.3142,180,33.226,4.4,,0.0126,True,132,9,1.0
-zgIolzsJxY_019,-zgIolzsJxY,Defensive Backs,CB,27,504.16,,503.136,183,33.953,4.5,,0.0141,True,134,10,1.0
-zgIolzsJxY_020,-zgIolzsJxY,Defensive Backs,CB,27,527.495,,526.4926,186,33.303,4.6,,0.0138,True,138,12,1.0
-zgIolzsJxY_021,-zgIolzsJxY,Defensive Backs,CB,27,547.06,,546.0455,182,32.606,4.44,,0.0116,True,133,14,1.0
-zgIolzsJxY_022,-zgIolzsJxY,Defensive Backs,CB,27,583.35,,582.3484,185,33.247,4.55,,0.0125,True,136,15,1.0
-zgIolzsJxY_023,-zgIolzsJxY,Defensive Backs,CB,27,620.78,,619.7525,181,34.155,4.42,,0.0112,True,132,16,1.0
-zgIolzsJxY_024,-zgIolzsJxY,Defensive Backs,CB,27,642.54,,641.5075,180,32.93,4.4,,0.0113,True,131,17,1.0
-zgIolzsJxY_025,-zgIolzsJxY,Defensive Backs,CB,27,676.97,,675.9419,185,33.952,4.55,,0.0173,True,136,18,1.0
-zgIolzsJxY_026,-zgIolzsJxY,Defensive Backs,CB,27,693.98,,692.9589,182,33.621,4.46,,0.0113,True,134,19,1.0
-zgIolzsJxY_027,-zgIolzsJxY,Defensive Backs,CB,27,723.43,,722.4217,181,33.514,4.43,,0.0117,True,132,21,1.0
-zgIolzsJxY_028,-zgIolzsJxY,Defensive Backs,CB,27,760.28,,759.2585,183,32.686,4.5,,0.0151,True,135,22,1.0
-zgIolzsJxY_029,-zgIolzsJxY,Defensive Backs,CB,27,770.98,,769.9692,182,33.549,4.46,,0.0198,True,134,23,1.0
-zgIolzsJxY_030,-zgIolzsJxY,Defensive Backs,CB,27,785.16,,784.15,183,33.513,4.5,,0.0162,True,135,24,1.0
-zgIolzsJxY_031,-zgIolzsJxY,Defensive Backs,CB,27,812.18,,811.177,178,33.167,4.32,,0.0111,True,129,26,1.0
-zgIolzsJxY_032,-zgIolzsJxY,Defensive Backs,CB,27,851.54,,850.5163,182,34.039,4.45,,0.0128,True,133,27,1.0
-zgIolzsJxY_033,-zgIolzsJxY,Defensive Backs,CB,27,861.22,,860.1927,180,33.912,4.4,,0.013,True,131,28,0.928
0r_usy_GIAI_000,0r_usy_GIAI,Wide Receivers Group 1,WR,26,6.96,,5.9393,186,33.668,4.58,,0.0153,True,122,2,1.0
0r_usy_GIAI_001,0r_usy_GIAI,Wide Receivers Group 1,WR,26,22.73,,21.7217,183,33.31,4.5,,0.0175,True,129,4,1.0
0r_usy_GIAI_002,0r_usy_GIAI,Wide Receivers Group 1,WR,26,74.31,,73.3066,167,33.057,4.38,,0.0135,True,108,6,1.0
0r_usy_GIAI_003,0r_usy_GIAI,Wide Receivers Group 1,WR,26,107.48,,106.473,184,33.233,4.52,,0.014,True,129,7,1.0
0r_usy_GIAI_004,0r_usy_GIAI,Wide Receivers Group 1,WR,26,147.13,,146.1126,179,33.828,4.37,,0.0164,True,119,10,0.96
0r_usy_GIAI_005,0r_usy_GIAI,Wide Receivers Group 1,WR,26,182.08,,181.0475,178,33.3,4.33,,0.0114,True,130,12,1.0
0r_usy_GIAI_006,0r_usy_GIAI,Wide Receivers Group 1,WR,26,233.01,,231.9984,178,33.695,4.32,,0.0118,True,114,13,1.0
0r_usy_GIAI_007,0r_usy_GIAI,Wide Receivers Group 1,WR,26,290.91,,289.8896,183,33.703,4.5,,0.0119,True,118,15,1.0
0r_usy_GIAI_008,0r_usy_GIAI,Wide Receivers Group 1,WR,26,383.61,,382.5822,172,34.223,4.44,,0.0111,True,121,21,1.0
0r_usy_GIAI_009,0r_usy_GIAI,Wide Receivers Group 1,WR,27,434.64,,433.6332,185,33.502,4.54,,0.0116,True,136,2,1.0
0r_usy_GIAI_010,0r_usy_GIAI,Wide Receivers Group 1,WR,27,446.4,,445.3783,184,34.03,4.53,,0.0171,True,136,4,1.0
0r_usy_GIAI_011,0r_usy_GIAI,Wide Receivers Group 1,WR,27,470.51,,469.5024,181,33.793,4.42,,0.0115,True,133,5,1.0
0r_usy_GIAI_012,0r_usy_GIAI,Wide Receivers Group 1,WR,27,493.75,,492.7256,181,32.876,4.41,,0.0118,True,131,6,1.0
0r_usy_GIAI_013,0r_usy_GIAI,Wide Receivers Group 1,WR,27,505.28,,504.2704,183,33.467,4.49,,0.0164,True,135,7,1.0
0r_usy_GIAI_014,0r_usy_GIAI,Wide Receivers Group 1,WR,27,531.38,,530.3632,179,33.718,4.36,,0.0127,True,129,9,1.0
0r_usy_GIAI_015,0r_usy_GIAI,Wide Receivers Group 1,WR,27,568.44,,567.4335,181,33.68,4.42,,0.0128,True,133,11,1.0
0r_usy_GIAI_016,0r_usy_GIAI,Wide Receivers Group 1,WR,27,581.21,,580.1796,178,33.935,4.31,,0.0163,True,130,12,1.0
0r_usy_GIAI_017,0r_usy_GIAI,Wide Receivers Group 1,WR,27,592.71,,591.6911,179,33.719,4.37,,0.0131,True,130,13,1.0
0r_usy_GIAI_018,0r_usy_GIAI,Wide Receivers Group 1,WR,27,609.09,,608.0741,183,33.659,4.5,,0.0131,True,135,15,1.0
0r_usy_GIAI_019,0r_usy_GIAI,Wide Receivers Group 1,WR,27,620.69,,619.6857,181,33.416,4.43,,0.0124,True,132,17,1.0
0r_usy_GIAI_020,0r_usy_GIAI,Wide Receivers Group 1,WR,27,646.82,,645.8118,180,32.488,4.4,,0.014,True,131,19,1.0
0r_usy_GIAI_021,0r_usy_GIAI,Wide Receivers Group 1,WR,27,672.46,,671.4374,187,33.725,4.64,,0.0129,True,138,20,1.0
0r_usy_GIAI_022,0r_usy_GIAI,Wide Receivers Group 1,WR,27,684.03,,683.0157,182,32.709,4.46,,0.0112,True,133,21,1.0
9xc35LbeeUE_000,9xc35LbeeUE,Tight Ends,TE,26,39.08,,38.0714,188,33.369,4.65,,0.0142,True,135,1,1.0
9xc35LbeeUE_001,9xc35LbeeUE,Tight Ends,TE,26,65.9,,64.8982,189,33.426,4.68,,0.0198,True,129,3,1.0
9xc35LbeeUE_002,9xc35LbeeUE,Tight Ends,TE,26,109.38,,108.3749,190,33.137,4.73,,0.0109,True,135,5,1.0
9xc35LbeeUE_003,9xc35LbeeUE,Tight Ends,TE,26,123.535,,122.5224,189,33.529,4.68,,0.0166,True,129,6,1.0
9xc35LbeeUE_004,9xc35LbeeUE,Tight Ends,TE,26,141.67000000000002,,140.6405,186,33.232,4.6,,0.0112,True,132,7,1.0
9xc35LbeeUE_005,9xc35LbeeUE,Tight Ends,TE,26,185.67,,184.6511,191,33.87,4.75,,0.0187,True,123,10,1.0
9xc35LbeeUE_006,9xc35LbeeUE,Tight Ends,TE,26,205.63,,204.6044,184,34.113,4.53,,0.0136,True,128,11,1.0
9xc35LbeeUE_007,9xc35LbeeUE,Tight Ends,TE,26,248.86,,247.8476,187,32.423,4.62,,0.0105,True,133,14,1.0
9xc35LbeeUE_008,9xc35LbeeUE,Tight Ends,TE,26,275.08,,274.0738,184,33.104,4.52,,0.0145,True,125,16,1.0
9xc35LbeeUE_009,9xc35LbeeUE,Tight Ends,TE,26,290.01,,288.9887,188,33.588,4.66,,0.013,True,125,18,1.0
9xc35LbeeUE_010,9xc35LbeeUE,Tight Ends,TE,26,300.54,,299.5326,167,32.65,3.94,,0.0122,True,103,19,1.0
9xc35LbeeUE_011,9xc35LbeeUE,Tight Ends,TE,26,314.05,,313.0461,189,33.149,4.7,,0.011,True,134,21,1.0
9xc35LbeeUE_012,9xc35LbeeUE,Tight Ends,TE,26,353.79,,352.7858,180,33.428,4.4,,0.0109,True,127,23,1.0
9xc35LbeeUE_013,9xc35LbeeUE,Tight Ends,TE,26,386.43,,385.4184,187,33.614,4.63,,0.0176,True,120,24,1.0
9xc35LbeeUE_014,9xc35LbeeUE,Tight Ends,TE,27,419.82,,418.8184,187,33.534,4.63,,0.0159,True,139,1,1.0
9xc35LbeeUE_015,9xc35LbeeUE,Tight Ends,TE,27,430.685,,429.6626,188,32.863,4.65,,0.0128,True,138,3,1.0
9xc35LbeeUE_016,9xc35LbeeUE,Tight Ends,TE,27,442.21,,441.2074,190,33.012,4.73,,0.0175,True,141,5,1.0
9xc35LbeeUE_017,9xc35LbeeUE,Tight Ends,TE,27,454.05,,453.0192,187,34.339,4.63,,0.0114,True,138,6,1.0
9xc35LbeeUE_018,9xc35LbeeUE,Tight Ends,TE,27,464.57,,463.5631,187,33.376,4.62,,0.017,True,138,7,1.0
9xc35LbeeUE_019,9xc35LbeeUE,Tight Ends,TE,27,479.21,,478.1777,187,33.073,4.62,,0.0117,True,138,8,1.0
9xc35LbeeUE_020,9xc35LbeeUE,Tight Ends,TE,27,494.47,,493.4596,191,33.325,4.76,,0.0186,True,143,10,1.0
9xc35LbeeUE_021,9xc35LbeeUE,Tight Ends,TE,27,522.66,,521.6545,185,33.43,4.55,,0.0195,True,136,11,1.0
9xc35LbeeUE_022,9xc35LbeeUE,Tight Ends,TE,27,536.785,,535.7686,196,33.823,4.94,,0.0103,True,147,12,1.0
9xc35LbeeUE_023,9xc35LbeeUE,Tight Ends,TE,27,562.6,,561.5944,187,33.241,4.63,,0.0144,True,138,14,1.0
9xc35LbeeUE_024,9xc35LbeeUE,Tight Ends,TE,27,579.78,,578.7782,190,33.384,4.71,,0.0126,True,141,15,1.0
9xc35LbeeUE_025,9xc35LbeeUE,Tight Ends,TE,27,589.1,,588.0875,184,33.796,4.54,,0.0166,True,135,16,0.967
9xc35LbeeUE_026,9xc35LbeeUE,Tight Ends,TE,27,603.61,,602.602,190,33.695,4.71,,0.0155,True,142,18,1.0
9xc35LbeeUE_027,9xc35LbeeUE,Tight Ends,TE,27,617.97,,616.9497,187,34.021,4.63,,0.0133,True,138,19,1.0
9xc35LbeeUE_028,9xc35LbeeUE,Tight Ends,TE,27,630.78,,629.7625,192,33.639,4.78,,0.012,True,143,21,1.0
9xc35LbeeUE_029,9xc35LbeeUE,Tight Ends,TE,27,642.2,,641.1739,180,33.922,4.4,,0.0174,True,132,23,1.0
9xc35LbeeUE_030,9xc35LbeeUE,Tight Ends,TE,27,683.62,,682.6153,187,33.437,4.64,,0.0122,True,139,24,1.0
BEFga72DF3U_000,BEFga72DF3U,Wide Receivers Group 2,WR,26,31.55,,30.5305,167,33.81,3.94,,0.0114,True,103,24,1.0
BEFga72DF3U_001,BEFga72DF3U,Wide Receivers Group 2,WR,26,53.67,,52.6526,186,33.927,4.59,,0.0161,True,118,25,1.0
BEFga72DF3U_002,BEFga72DF3U,Wide Receivers Group 2,WR,26,77.02,,76.0093,179,33.39,4.34,,0.0116,True,129,26,1.0
BEFga72DF3U_003,BEFga72DF3U,Wide Receivers Group 2,WR,26,109.05,,108.0413,183,33.219,4.48,,0.0109,True,132,27,1.0
BEFga72DF3U_004,BEFga72DF3U,Wide Receivers Group 2,WR,26,144.04500000000002,,143.0429,182,33.176,4.46,,0.0112,True,130,28,1.0
BEFga72DF3U_005,BEFga72DF3U,Wide Receivers Group 2,WR,26,158.93,,157.9244,179,33.319,4.37,,0.0111,True,129,32,1.0
BEFga72DF3U_006,BEFga72DF3U,Wide Receivers Group 2,WR,26,176.79,,175.7756,188,33.494,4.65,,0.0116,True,130,33,1.0
BEFga72DF3U_007,BEFga72DF3U,Wide Receivers Group 2,WR,26,187.63,,186.6198,180,33.594,4.39,,0.0121,True,117,35,1.0
BEFga72DF3U_008,BEFga72DF3U,Wide Receivers Group 2,WR,26,279.36,,278.3447,177,32.543,4.28,,0.0116,True,116,38,1.0
BEFga72DF3U_009,BEFga72DF3U,Wide Receivers Group 2,WR,26,326.77,,325.7588,176,33.401,4.26,,0.0113,True,122,39,1.0
BEFga72DF3U_010,BEFga72DF3U,Wide Receivers Group 2,WR,26,436.985,,435.9689,181,33.992,4.42,,0.0138,True,122,45,1.0
BEFga72DF3U_011,BEFga72DF3U,Wide Receivers Group 2,WR,27,474.58,,473.5731,183,33.419,4.48,,0.0131,True,134,24,1.0
BEFga72DF3U_012,BEFga72DF3U,Wide Receivers Group 2,WR,27,501.44,,500.4333,185,33.53,4.55,,0.0117,True,136,25,1.0
BEFga72DF3U_013,BEFga72DF3U,Wide Receivers Group 2,WR,27,525.57,,524.5574,180,33.476,4.39,,0.0124,True,131,26,1.0
BEFga72DF3U_014,BEFga72DF3U,Wide Receivers Group 2,WR,27,543.75,,542.7422,182,33.173,4.47,,0.0114,True,133,27,1.0
BEFga72DF3U_015,BEFga72DF3U,Wide Receivers Group 2,WR,27,582.73,,581.7145,183,33.775,4.5,,0.0114,True,134,28,1.0
BEFga72DF3U_016,BEFga72DF3U,Wide Receivers Group 2,WR,27,593.48,,592.4585,179,33.7,4.36,,0.0104,True,130,32,1.0
BEFga72DF3U_017,BEFga72DF3U,Wide Receivers Group 2,WR,27,604.38,,603.3694,188,33.609,4.66,,0.017,True,140,33,0.963
BEFga72DF3U_018,BEFga72DF3U,Wide Receivers Group 2,WR,27,618.04,,617.0164,179,34.042,4.37,,0.0108,True,131,35,1.0
BEFga72DF3U_019,BEFga72DF3U,Wide Receivers Group 2,WR,27,646.15,,645.1445,181,33.406,4.41,,0.017,True,132,36,1.0
BEFga72DF3U_020,BEFga72DF3U,Wide Receivers Group 2,WR,27,720.72,,719.719,177,33.461,4.3,,0.018,True,129,39,1.0
BEFga72DF3U_021,BEFga72DF3U,Wide Receivers Group 2,WR,27,768.245,,767.2331,185,33.623,4.57,,0.0131,True,137,41,1.0
BEFga72DF3U_022,BEFga72DF3U,Wide Receivers Group 2,WR,27,798.85,,797.8304,185,33.778,4.55,,0.0119,True,135,42,1.0
BEFga72DF3U_023,BEFga72DF3U,Wide Receivers Group 2,WR,27,835.28,,834.2668,186,33.65,4.58,,0.0132,True,137,43,1.0
BEFga72DF3U_024,BEFga72DF3U,Wide Receivers Group 2,WR,27,854.815,,853.7863,183,34.205,4.48,,0.0164,True,134,44,0.967
BEFga72DF3U_025,BEFga72DF3U,Wide Receivers Group 2,WR,27,890.92,,889.889,181,34.1,4.42,,0.0108,True,132,45,1.0
BEFga72DF3U_026,BEFga72DF3U,Wide Receivers Group 2,WR,26,984.58,,983.5492,185,34.401,4.56,,0.011,True,133,15,1.0
BEFga72DF3U_027,BEFga72DF3U,Wide Receivers Group 2,WR,27,1065.0549999999998,,1064.0296,185,33.051,4.57,,0.0149,True,136,15,1.0
