run_id,frame,t_clock,x_yd,v_yds,a_yds2,trunk_angle,hip_height_ratio,knee_lead,knee_trail,hip_flex_lead,hip_flex_trail,shin_angle_lead,thigh_sep,elbow_angle,arm_swing,foot_contact,step_freq_hz,step_len_yd,valid
0r_usy_GIAI_000,33,-0.0223,-1.064,1.376,10.919,110.195,0.632,109.516,114.976,58.999,73.934,62.243,8.309,161.532,0.345,1.0,,,1
0r_usy_GIAI_000,34,0.0111,-1.004,1.804,11.562,102.675,0.604,103.812,109.102,69.292,82.249,70.38,4.251,160.308,0.541,1.0,,,1
0r_usy_GIAI_000,35,0.0444,-0.928,2.41,12.138,92.528,0.602,109.904,100.305,93.335,81.351,74.323,6.214,153.271,0.556,1.0,,,1
0r_usy_GIAI_000,36,0.0778,-0.83,3.099,12.199,81.756,0.58,91.946,98.701,95.776,97.824,85.059,2.011,152.126,0.343,0.0,,,1
0r_usy_GIAI_000,37,0.1112,-0.731,3.673,11.473,69.488,0.55,88.833,94.399,100.014,112.964,82.013,19.523,97.945,0.019,0.0,,,1
0r_usy_GIAI_000,38,0.1445,-0.605,4.101,11.143,59.267,0.508,77.195,108.929,97.405,128.832,78.27,45.963,158.858,0.013,0.0,,,1
0r_usy_GIAI_000,39,0.1779,-0.464,4.431,12.261,51.027,0.477,77.04,133.839,92.154,150.398,60.704,83.878,121.607,0.223,0.0,,,1
0r_usy_GIAI_000,40,0.2113,-0.299,4.836,13.659,47.311,0.476,88.479,156.568,87.393,167.364,38.776,109.248,93.542,0.578,0.0,,,1
0r_usy_GIAI_000,41,0.2446,-0.131,4.95,13.65,49.496,0.517,99.75,163.027,85.282,170.663,29.096,110.755,91.328,0.784,0.0,,,1
0r_usy_GIAI_000,42,0.278,0.047,4.794,11.988,51.399,0.567,106.822,139.444,97.224,152.932,38.482,77.043,115.073,0.709,1.0,2.997,1.53,1
