video_id,season,group,positions,cls,duration,fps,title
0r_usy_GIAI,2026,Wide Receivers Group 1,WR,skill,739.0,30.0,Wide Receivers Run the 40-Yard Dash at 2026 NFL Combine | Group 1
BEFga72DF3U,2026,Wide Receivers Group 2,WR,skill,1128.0,30.0,Wide Receivers Run the 40-Yard Dash at 2026 NFL Combine | Group 2
-zgIolzsJxY,2026,Defensive Backs,CB,skill,917.0,30.0,Defensive Backs Run the 40-Yard Dash at 2026 NFL Combine
UcatZ1FYe5E,2026,Safeties,SAF,skill,606.0,30.0,Safeties Run the 40-Yard Dash at 2026 NFL Combine
g__zmhX838U,2026,Running Backs,RB,strong,445.0,30.0,Running Backs Run the 40-Yard Dash at 2026 NFL Combine
9xc35LbeeUE,2026,Tight Ends,TE,strong,758.0,30.0,Tight Ends Run the 40-Yard Dash at 2026 NFL Combine
olzS7RidilY,2026,Linebackers,LB,strong,681.0,30.0,Linebackers Run the 40-Yard Dash at 2026 NFL Combine
LDqozfzjaNU,2026,Edge Rushers,EDGE,strong,839.0,30.0,Edge Rushers Run the 40-Yard Dash at 2026 NFL Combine
W23Nvg3rw6U,2026,Offensive Lineman Group 1,OT|G|C,line,1052.0,30.0,Offensive Lineman Run the 40-Yard Dash at 2026 NFL Combine | Group 1
f9RAoGpGkIY,2026,Offensive Lineman Group 2,OT|G|C,line,732.0,30.0,Offensive Lineman Run the 40-Yard Dash at 2026 NFL Combine | Group 2
Sr-Q6UjJq6g,2026,Defensive Line,DT,line,519.0,30.0,Defensive Lineman Run the 40-Yard Dash at 2026 NFL Combine
